count	codes	platform	label
442	PVS1	CS	PVS1=(442)
8	PS1	CS	PS1=(8)
190	PM1	CS	PM1=(190)
1852	PM2	CS	PM2=(1852)
2	PM4	CS	PM4=(2)
237	PM5	CS	PM5=(237)
107	PP2	CS	PP2=(107)
1185	PP3	CS	PP3=(1185)
58	BA1	CS	BA1=(58)
179	BS1	CS	BS1=(179)
23	BS2	CS	BS2=(23)
159	BP4	CS	BP4=(159)
130	BP7	CS	BP7=(130)
402	PVS1	CF	PVS1=(402)
5	PS1	CF	PS1=(5)
381	PM1	CF	PM1=(381)
1770	PM2	CF	PM2=(1770)
2	PM4	CF	PM4=(2)
189	PM5	CF	PM5=(189)
165	PP2	CF	PP2=(165)
1079	PP3	CF	PP3=(1079)
233	BA1	CF	BA1=(233)
62	BS1	CF	BS1=(62)
62	BS2	CF	BS2=(62)
85	BP4	CF	BP4=(85)
176	BP7	CF	BP7=(176)
