index	precision	recall	f1-score	platform
P	0.6491499227202473	0.535031847133758	0.5865921787709497	seq
LP	0.4981226533166458	0.5710186513629842	0.5320855614973262	seq
VUS	0.7893333333333333	0.8680351906158358	0.8268156424581006	seq
LB	0.6351351351351351	0.38419618528610355	0.47877758913412566	seq
B	0.7422145328719724	0.8597194388777555	0.7966573816155988	seq
P	0.5148063781321185	0.8636942675159236	0.6450999048525216	franklin
LP	0.027700831024930747	0.014347202295552367	0.01890359168241966	franklin
VUS	0.8541996830427893	0.5268817204301075	0.6517533252720676	franklin
LB	0.7457627118644068	0.47956403269754766	0.5837479270315091	franklin
B	0.79182156133829	0.8537074148296593	0.8216007714561234	franklin
